From Type,From Name,Edge,To Type,To Name,Weight
Person,Ame,Rated,Person,David,9
Person,Ame,Rated,Person,Dice,3
Person,Ame,Rated,Person,Dre,3
Person,Ame,Rated,Person,Flo,6
Person,Ame,Rated,Person,Jan,10
Person,Ame,Rated,Person,Kenta,6
Person,Ame,Rated,Person,Marco,5
Person,David,Rated,Person,Ame,9
Person,David,Rated,Person,Dice,2
Person,David,Rated,Person,Dre,3
Person,David,Rated,Person,Flo,6
Person,David,Rated,Person,Jan,10
Person,David,Rated,Person,Kenta,2
Person,David,Rated,Person,Marco,7
Person,Dice,Rated,Person,Ame,2
Person,Dice,Rated,Person,David,2
Person,Dice,Rated,Person,Dre,8
Person,Dice,Rated,Person,Flo,9
Person,Dice,Rated,Person,Jan,5
Person,Dice,Rated,Person,Kenta,9
Person,Dice,Rated,Person,Marco,5
Person,Dre,Rated,Person,Ame,7
Person,Dre,Rated,Person,David,3
Person,Dre,Rated,Person,Dice,8
Person,Dre,Rated,Person,Flo,10
Person,Dre,Rated,Person,Jan,7
Person,Dre,Rated,Person,Kenta,10
Person,Dre,Rated,Person,Marco,7
Person,Flo,Rated,Person,Ame,5
Person,Flo,Rated,Person,David,6
Person,Flo,Rated,Person,Dice,7
Person,Flo,Rated,Person,Dre,9
Person,Flo,Rated,Person,Jan,9
Person,Flo,Rated,Person,Kenta,9
Person,Flo,Rated,Person,Marco,8
Person,Jan,Rated,Person,Ame,9
Person,Jan,Rated,Person,David,10
Person,Jan,Rated,Person,Dice,7
Person,Jan,Rated,Person,Dre,7
Person,Jan,Rated,Person,Flo,10
Person,Jan,Rated,Person,Kenta,3
Person,Jan,Rated,Person,Marco,5
Person,Kenta,Rated,Person,Ame,6
Person,Kenta,Rated,Person,David,2
Person,Kenta,Rated,Person,Dice,8
Person,Kenta,Rated,Person,Dre,9
Person,Kenta,Rated,Person,Flo,9
Person,Kenta,Rated,Person,Jan,3
Person,Kenta,Rated,Person,Marco,4
Person,Marco,Rated,Person,Ame,3
Person,Marco,Rated,Person,David,7
Person,Marco,Rated,Person,Dice,3
Person,Marco,Rated,Person,Dre,5
Person,Marco,Rated,Person,Flo,8
Person,Marco,Rated,Person,Jan,5
Person,Marco,Rated,Person,Kenta,3
